FP1,FP2,F3,F4,C3,C4,P3,P4,O1,O2,F7, F8,T3,T4,T5,T6,FZ,CZ,PZ
1.673830e+02,-3.451170e+02,9.443400e+01,1.291020e+02,6.308600e+01,-6.865200e+01,3.544900e+01,-7.978500e+01,1.250000e+01,3.320300e+01,7.871100e+01,-4.775390e+02,-2.494140e+02,-1.834960e+02,-3.785160e+02,1.162100e+01,1.698240e+02,1.079100e+02,7.255900e+01
1.579100e+02,-3.670900e+02,8.867200e+01,8.837900e+01,5.712900e+01,-6.445300e+01,2.666000e+01,-9.834000e+01,1.162100e+01,1.748000e+01,6.416000e+01,-4.768550e+02,-2.406250e+02,-1.978520e+02,-3.895510e+02,-1.005900e+01,1.538090e+02,9.101600e+01,5.390600e+01
1.315430e+02,-3.986330e+02,4.296900e+01,5.488300e+01,4.082000e+01,-4.609400e+01,1.738300e+01,-1.146480e+02,1.464800e+01,4.785000e+00,4.677700e+01,-4.938480e+02,-2.285160e+02,-2.162110e+02,-4.061520e+02,-2.783200e+01,1.306640e+02,6.787100e+01,3.720700e+01
1.180660e+02,-4.183590e+02,3.085900e+01,4.462900e+01,3.232400e+01,-3.554700e+01,2.246000e+00,-1.333010e+02,4.199000e+00,-1.074200e+01,3.623000e+01,-5.137700e+02,-2.199220e+02,-2.336910e+02,-4.279300e+02,-4.199200e+01,1.226560e+02,5.439500e+01,2.177700e+01
1.141600e+02,-4.333980e+02,2.919900e+01,3.632800e+01,3.193400e+01,-3.447300e+01,-3.418000e+00,-1.526370e+02,1.270000e+00,-3.085900e+01,3.515600e+01,-5.482420e+02,-2.141600e+02,-2.680660e+02,-4.405270e+02,-7.441400e+01,1.208010e+02,4.863300e+01,8.398000e+00
9.716800e+01,-4.590820e+02,1.728500e+01,1.269500e+01,2.480500e+01,-3.115200e+01,-7.910000e+00,-1.721680e+02,3.516000e+00,-4.785200e+01,1.289100e+01,-5.911130e+02,-2.070310e+02,-2.899410e+02,-4.546880e+02,-9.462900e+01,1.069340e+02,3.476600e+01,-4.395000e+00
1.167970e+02,-4.291020e+02,3.623000e+01,3.418000e+01,3.867200e+01,-4.599600e+01,9.863000e+00,-1.477540e+02,1.865200e+01,-2.353500e+01,2.148400e+01,-5.351560e+02,-2.154300e+02,-2.380860e+02,-4.416020e+02,-5.087900e+01,1.268550e+02,5.517600e+01,1.982400e+01
1.392580e+02,-4.007810e+02,6.445300e+01,5.332000e+01,6.162100e+01,-6.562500e+01,2.783200e+01,-1.262700e+02,2.451200e+01,-5.957000e+00,1.201200e+01,-5.010740e+02,-2.513670e+02,-2.172850e+02,-4.333980e+02,-2.773400e+01,1.450200e+02,7.841800e+01,3.974600e+01
1.591800e+02,-3.731450e+02,7.822300e+01,7.949200e+01,6.650400e+01,-6.855500e+01,4.199200e+01,-1.059570e+02,3.212900e+01,1.113300e+01,6.093700e+01,-4.824220e+02,-2.275390e+02,-2.053710e+02,-4.134770e+02,-1.513700e+01,1.607420e+02,9.668000e+01,5.820300e+01
1.687500e+02,-3.518550e+02,8.388700e+01,1.072270e+02,5.966800e+01,-6.230500e+01,4.101600e+01,-9.218800e+01,2.978500e+01,2.558600e+01,8.554700e+01,-4.653320e+02,-2.291990e+02,-1.886720e+02,-4.024410e+02,-1.270000e+00,1.700200e+02,1.052730e+02,6.943400e+01
1.827150e+02,-3.314450e+02,1.069340e+02,1.299800e+02,7.031200e+01,-7.373000e+01,4.638700e+01,-8.125000e+01,2.841800e+01,3.496100e+01,8.740200e+01,-4.552730e+02,-2.504880e+02,-1.743160e+02,-3.880860e+02,1.152300e+01,1.828120e+02,1.180660e+02,7.939500e+01
1.642580e+02,-3.576170e+02,8.584000e+01,9.687500e+01,6.171900e+01,-6.748000e+01,3.544900e+01,-9.902300e+01,2.216800e+01,1.503900e+01,8.173800e+01,-4.765630e+02,-2.401370e+02,-2.016600e+02,-3.997070e+02,-1.054700e+01,1.619140e+02,9.794900e+01,5.966800e+01
1.398440e+02,-3.882810e+02,5.957000e+01,6.816400e+01,4.726600e+01,-5.195300e+01,2.109400e+01,-1.177730e+02,1.728500e+01,-2.246000e+00,5.576200e+01,-5.029300e+02,-2.263670e+02,-2.227540e+02,-4.158200e+02,-2.656300e+01,1.405270e+02,75,4.023400e+01
1.315430e+02,-4.032230e+02,5.263700e+01,5.742200e+01,3.584000e+01,-3.896500e+01,7.813000e+00,-1.312500e+02,1.367200e+01,-1.240200e+01,3.222700e+01,-5.006840e+02,-2.387700e+02,-2.259770e+02,-4.373050e+02,-3.925800e+01,1.337890e+02,6.171900e+01,2.744100e+01
1.254880e+02,-4.218750e+02,5.712900e+01,3.994100e+01,4.072300e+01,-4.150400e+01,1.191400e+01,-1.469730e+02,2.226600e+01,-2.421900e+01,2.402300e+01,-5.252930e+02,-2.259770e+02,-2.458010e+02,-4.354490e+02,-5.371100e+01,1.290040e+02,5.771500e+01,1.953100e+01
1.087890e+02,-4.475590e+02,2.275400e+01,1.640600e+01,3.164100e+01,-3.535200e+01,8.789000e+00,-1.673830e+02,2.509800e+01,-4.140600e+01,9.863000e+00,-5.577150e+02,-2.099610e+02,-2.773440e+02,-4.404300e+02,-7.441400e+01,1.132810e+02,4.091800e+01,6.348000e+00
1.169920e+02,-4.311520e+02,3.232400e+01,3.671900e+01,3.847700e+01,-4.619100e+01,1.972700e+01,-1.460940e+02,3.076200e+01,-2.002000e+01,4.228500e+01,-5.489260e+02,-2.017580e+02,-2.556640e+02,-4.249020e+02,-4.951200e+01,1.241210e+02,5.478500e+01,2.558600e+01
1.495120e+02,-3.908200e+02,6.513700e+01,6.035200e+01,5.263700e+01,-5.820300e+01,2.841800e+01,-1.152340e+02,2.441400e+01,7.031000e+00,8.437500e+01,-5.012700e+02,-1.892580e+02,-2.272460e+02,-3.973630e+02,-1.543000e+01,1.491210e+02,7.968800e+01,4.716800e+01
1.656250e+02,-3.694340e+02,9.531200e+01,8.193400e+01,6.718800e+01,-6.884800e+01,3.720700e+01,-1.008790e+02,2.382800e+01,1.435500e+01,8.437500e+01,-4.937500e+02,-2.052730e+02,-2.153320e+02,-3.872070e+02,-6.934000e+00,1.615230e+02,9.482400e+01,5.800800e+01
1.753910e+02,-3.479490e+02,1.042970e+02,1.082030e+02,6.855500e+01,-6.894500e+01,3.994100e+01,-8.642600e+01,2.636700e+01,2.871100e+01,9.550800e+01,-4.672850e+02,-2.200200e+02,-1.831050e+02,-3.850590e+02,9.766000e+00,1.697270e+02,1.018550e+02,6.904300e+01
1.913090e+02,-3.232420e+02,1.167970e+02,1.349610e+02,7.226600e+01,-7.529300e+01,5.127000e+01,-6.513700e+01,3.496100e+01,4.990200e+01,8.584000e+01,-4.398440e+02,-2.292970e+02,-1.503910e+02,-3.701170e+02,3.125000e+01,1.833980e+02,1.143550e+02,8.564500e+01
1.714840e+02,-3.519530e+02,9.951200e+01,1.010740e+02,5.937500e+01,-6.630900e+01,3.378900e+01,-8.681600e+01,2.490200e+01,2.666000e+01,8.095700e+01,-4.727540e+02,-2.377930e+02,-1.806640e+02,-3.929690e+02,4.880000e-01,1.618160e+02,9.238300e+01,6.113300e+01
1.518550e+02,-3.740230e+02,4.677700e+01,8.554700e+01,4.043000e+01,-4.531200e+01,2.031300e+01,-1.022460e+02,2.656300e+01,1.259800e+01,8.603500e+01,-4.937500e+02,-2.215820e+02,-1.961910e+02,-4.111330e+02,-1.201200e+01,1.432620e+02,6.933600e+01,4.365200e+01
1.389650e+02,-3.943360e+02,4.433600e+01,5.605500e+01,3.418000e+01,-3.759800e+01,1.250000e+01,-1.163090e+02,3.007800e+01,4.297000e+00,6.865200e+01,-4.953130e+02,-2.098630e+02,-2.116210e+02,-4.283200e+02,-1.806600e+01,1.315430e+02,5.468800e+01,3.212900e+01
1.357420e+02,-4.071290e+02,5.263700e+01,4.472700e+01,3.593800e+01,-3.896500e+01,1.435500e+01,-1.322270e+02,3.603500e+01,-8.398000e+00,3.935500e+01,-5.053710e+02,-2.112300e+02,-2.297850e+02,-4.240230e+02,-3.955100e+01,1.300780e+02,4.873000e+01,2.236300e+01
1.151370e+02,-4.400390e+02,4.072300e+01,1.318400e+01,2.871100e+01,-3.496100e+01,3.711000e+00,-1.516600e+02,3.066400e+01,-2.656300e+01,1.533200e+01,-5.335940e+02,-2.046880e+02,-2.509770e+02,-4.280270e+02,-5.976600e+01,1.121090e+02,3.134800e+01,4.004000e+00
1.264650e+02,-4.200200e+02,3.710900e+01,3.203100e+01,3.789100e+01,-4.531200e+01,1.386700e+01,-1.337890e+02,3.418000e+01,-5.664000e+00,5.820300e+01,-5.102540e+02,-1.934570e+02,-2.269530e+02,-4.065430e+02,-3.164100e+01,1.235350e+02,4.541000e+01,2.168000e+01
1.500980e+02,-3.869140e+02,6.054700e+01,6.552700e+01,5.556600e+01,-6.044900e+01,2.753900e+01,-1.107420e+02,2.763700e+01,1.347700e+01,8.388700e+01,-4.967770e+02,-1.988280e+02,-2.065430e+02,-3.854490e+02,-9.082000e+00,1.449220e+02,6.835900e+01,3.896500e+01
1.692380e+02,-3.634770e+02,8.584000e+01,9.023400e+01,6.533200e+01,-6.875000e+01,3.437500e+01,-9.511700e+01,2.529300e+01,2.304700e+01,8.623000e+01,-4.737300e+02,-2.090820e+02,-1.946290e+02,-3.821290e+02,2.930000e+00,1.589840e+02,8.378900e+01,50
1.713870e+02,-3.509770e+02,8.867200e+01,1.053710e+02,6.425800e+01,-6.796900e+01,3.818400e+01,-8.125000e+01,2.929700e+01,3.505900e+01,8.769500e+01,-4.545900e+02,-2.144530e+02,-1.809570e+02,-3.842770e+02,1.572300e+01,1.626950e+02,9.062500e+01,6.181600e+01
1.824220e+02,-3.288090e+02,9.990200e+01,1.210940e+02,7.412100e+01,-7.802700e+01,5.400400e+01,-6.035200e+01,4.160200e+01,5.029300e+01,9.882800e+01,-4.284180e+02,-2.256840e+02,-1.506840e+02,-3.689450e+02,3.750000e+01,1.733400e+02,1.049800e+02,8.105500e+01
1.645510e+02,-3.506840e+02,8.281200e+01,100,6.152300e+01,-6.718800e+01,3.691400e+01,-7.812500e+01,2.832000e+01,2.832000e+01,8.193400e+01,-4.493160e+02,-2.336910e+02,-1.688480e+02,-3.854490e+02,1.318400e+01,1.550780e+02,8.642600e+01,6.025400e+01
1.436520e+02,-3.787110e+02,5.898400e+01,7.685500e+01,4.423800e+01,-4.804700e+01,1.650400e+01,-1.035160e+02,1.865200e+01,1.210900e+01,6.113300e+01,-4.761720e+02,-2.310550e+02,-1.969730e+02,-4.113280e+02,-6.738000e+00,1.367190e+02,6.347700e+01,3.730500e+01
1.278320e+02,-4.043950e+02,4.502000e+01,5.322300e+01,3.681600e+01,-3.906200e+01,9.570000e+00,-1.245120e+02,2.216800e+01,-1.562000e+00,4.199200e+01,-5.050780e+02,-2.177730e+02,-2.251950e+02,-4.252930e+02,-2.509800e+01,1.247070e+02,4.824200e+01,2.343800e+01
1.248050e+02,-4.202150e+02,4.648400e+01,4.736300e+01,3.935500e+01,-4.140600e+01,7.422000e+00,-1.448240e+02,1.855500e+01,-2.089800e+01,4.736300e+01,-5.400390e+02,-1.988280e+02,-2.552730e+02,-4.318360e+02,-5.117200e+01,1.244140e+02,4.375000e+01,1.035200e+01
1.070310e+02,-4.463870e+02,2.363300e+01,3.232400e+01,2.265600e+01,-25,-1.162100e+01,-1.620120e+02,4.688000e+00,-4.111300e+01,2.099600e+01,-5.905270e+02,-2.061520e+02,-2.986330e+02,-4.591800e+02,-7.568400e+01,1.116210e+02,2.812500e+01,-7.715000e+00
1.119140e+02,-4.347660e+02,3.183600e+01,2.705100e+01,3.242200e+01,-3.798800e+01,-1.950000e-01,-1.448240e+02,9.961000e+00,-2.558600e+01,1.582000e+01,-5.488280e+02,-2.118160e+02,-2.578120e+02,-4.409180e+02,-4.951200e+01,1.182620e+02,4.101600e+01,1.005900e+01
1.417970e+02,-3.978520e+02,7.060500e+01,4.511700e+01,6.230500e+01,-6.777300e+01,2.529300e+01,-1.278320e+02,1.923800e+01,-3.809000e+00,3.867200e+01,-4.796880e+02,-2.188480e+02,-2.023440e+02,-4.083980e+02,-2.138700e+01,1.416990e+02,6.865200e+01,3.369100e+01
1.667970e+02,-3.638670e+02,8.505900e+01,7.597700e+01,6.894500e+01,-7.226600e+01,4.043000e+01,-1.046870e+02,2.597700e+01,1.533200e+01,1.049800e+02,-4.598630e+02,-2.041990e+02,-1.839840e+02,-3.869140e+02,-2.539000e+00,1.601560e+02,8.925800e+01,5.419900e+01
1.693360e+02,-3.523440e+02,8.222700e+01,9.433600e+01,6.445300e+01,-6.660200e+01,4.433600e+01,-8.554700e+01,2.939500e+01,2.910200e+01,1.001950e+02,-4.548830e+02,-2.186520e+02,-1.698240e+02,-3.770510e+02,1.552700e+01,1.633790e+02,9.697300e+01,6.796900e+01
1.770510e+02,-3.346680e+02,1.020510e+02,1.119140e+02,7.421900e+01,-7.822300e+01,5.429700e+01,-6.689500e+01,3.437500e+01,4.423800e+01,8.984400e+01,-4.448240e+02,-2.457030e+02,-1.649410e+02,-3.662110e+02,2.871100e+01,1.728520e+02,1.108400e+02,8.437500e+01
1.586910e+02,-3.625980e+02,1.018550e+02,8.554700e+01,6.748000e+01,-7.402300e+01,3.623000e+01,-9.101600e+01,2.002000e+01,1.904300e+01,3.798800e+01,-4.810550e+02,-2.656250e+02,-2.044920e+02,-3.965820e+02,-1.142600e+01,1.540040e+02,9.199200e+01,5.927700e+01
1.340820e+02,-3.949220e+02,5.556600e+01,5.830100e+01,5.439500e+01,-5.888700e+01,2.314500e+01,-1.116210e+02,1.855500e+01,-6.840000e-01,6.055000e+00,-5.058590e+02,-2.534180e+02,-2.259770e+02,-4.245120e+02,-3.701200e+01,1.317380e+02,6.914100e+01,4.023400e+01
1.226560e+02,-4.086910e+02,3.271500e+01,4.863300e+01,3.359400e+01,-3.740200e+01,1.826200e+01,-1.176760e+02,3.271500e+01,-3.223000e+00,4.228500e+01,-5.117190e+02,-2.193360e+02,-2.340820e+02,-4.297850e+02,-3.769500e+01,125,5.752000e+01,3.652300e+01
1.209960e+02,-4.207030e+02,2.988300e+01,3.613300e+01,3.164100e+01,-3.476600e+01,1.152300e+01,-1.370120e+02,2.744100e+01,-1.943400e+01,5.068400e+01,-5.375980e+02,-2.100590e+02,-2.666990e+02,-4.260740e+02,-5.673800e+01,1.239260e+02,5.224600e+01,2.470700e+01
1.055660e+02,-4.449220e+02,1.269500e+01,1.601600e+01,2.089800e+01,-2.539100e+01,-1.328100e+01,-1.678710e+02,2.930000e-01,-4.541000e+01,2.666000e+01,-5.687500e+02,-2.087890e+02,-2.833980e+02,-4.432620e+02,-8.613300e+01,1.106450e+02,3.457000e+01,-1.172000e+00
1.180660e+02,-4.253910e+02,3.398400e+01,3.203100e+01,3.398400e+01,-4.101600e+01,3.906000e+00,-1.466800e+02,1.513700e+01,-2.587900e+01,3.027300e+01,-5.346680e+02,-2.097660e+02,-2.389650e+02,-4.348630e+02,-5.283200e+01,1.251950e+02,5.068400e+01,1.875000e+01
