FP1,FP2,F3,F4,C3,C4,P3,P4,O1,O2,F7, F8,T3,T4,T5,T6,FZ,CZ,PZ
2.778320e+02,-7.446290e+02,-2.617200e+01,1.170900e+02,1.728500e+01,-1.953100e+01,7.021500e+01,-9.101600e+01,1.144530e+02,3.359400e+01,1.140630e+02,-3.292970e+02,-4.697300e+01,-3.713870e+02,-4.599600e+01,1.201200e+01,1.331050e+02,-7.832000e+01,7.910200e+01
2.705080e+02,-7.628910e+02,-3.037100e+01,1.033200e+02,1.953100e+01,-2.148400e+01,6.543000e+01,-1.069340e+02,1.126950e+02,1.826200e+01,1.075200e+02,-3.488280e+02,-3.632800e+01,-3.879880e+02,-5.341800e+01,-2.344000e+00,1.289060e+02,-8.554700e+01,6.689500e+01
2.519530e+02,-7.948240e+02,-4.697300e+01,6.630900e+01,1.582000e+01,-1.904300e+01,5.195300e+01,-1.360350e+02,9.970700e+01,-1.054700e+01,8.535200e+01,-3.841800e+02,-3.916000e+01,-4.227540e+02,-6.757800e+01,-3.300800e+01,1.102540e+02,-1.046870e+02,4.277300e+01
2.505860e+02,-7.917970e+02,-5.019500e+01,7.636700e+01,1.835900e+01,-2.441400e+01,5.585900e+01,-1.333010e+02,1.037110e+02,-7.910000e+00,7.627000e+01,-3.817380e+02,-4.824200e+01,-4.224610e+02,-7.246100e+01,-3.037100e+01,1.120120e+02,-1.009770e+02,5.087900e+01
2.829100e+02,-7.495120e+02,-2.060500e+01,1.121090e+02,3.271500e+01,-3.828100e+01,8.574200e+01,-9.970700e+01,1.293950e+02,1.816400e+01,1.190430e+02,-3.184570e+02,-3.828100e+01,-3.682620e+02,-4.521500e+01,6.152000e+00,1.402340e+02,-7.002000e+01,8.593700e+01
3.053710e+02,-7.209960e+02,2.246000e+00,1.376950e+02,4.628900e+01,-5.009800e+01,1.014650e+02,-8.027300e+01,1.314450e+02,3.544900e+01,1.479490e+02,-3.036130e+02,-4.433600e+01,-3.634770e+02,-3.027300e+01,2.138700e+01,1.584960e+02,-4.775400e+01,1.038090e+02
3.067380e+02,-7.100590e+02,2.734000e+00,1.546870e+02,3.916000e+01,-4.209000e+01,9.121100e+01,-6.796900e+01,1.101560e+02,5.029300e+01,1.380860e+02,-3.026370e+02,-6.191400e+01,-3.692380e+02,-4.052700e+01,3.105500e+01,1.600590e+02,-4.423800e+01,1.075200e+02
3.292970e+02,-6.723630e+02,2.714800e+01,1.811520e+02,5.322300e+01,-5.732400e+01,1.094730e+02,-3.974600e+01,1.204100e+02,8.144500e+01,1.492190e+02,-2.495120e+02,-5.439500e+01,-2.923830e+02,-1.621100e+01,7.392600e+01,1.792970e+02,-2.246100e+01,1.332030e+02
3.248050e+02,-6.818360e+02,3.779300e+01,1.705080e+02,4.648400e+01,-5.283200e+01,9.560500e+01,-5.341800e+01,1.137700e+02,6.748000e+01,1.362300e+02,-2.666990e+02,-8.076200e+01,-3.138670e+02,-3.349600e+01,6.074200e+01,1.716800e+02,-3.173800e+01,1.181640e+02
2.942380e+02,-7.189450e+02,6.836000e+00,1.441410e+02,2.802700e+01,-3.339800e+01,7.373000e+01,-8.203100e+01,1.015630e+02,3.789100e+01,1.122070e+02,-3.057620e+02,-7.988300e+01,-3.550780e+02,-6.044900e+01,2.851600e+01,1.466800e+02,-5.830100e+01,9.043000e+01
2.796870e+02,-7.401370e+02,-3.574200e+01,1.245120e+02,1.386700e+01,-1.552700e+01,6.220700e+01,-9.824200e+01,100,2.255900e+01,1.219730e+02,-3.164060e+02,-5.449200e+01,-3.567380e+02,-7.265600e+01,1.543000e+01,1.339840e+02,-7.773400e+01,7.597700e+01
2.713870e+02,-7.584960e+02,-4.511700e+01,1.088870e+02,1.396500e+01,-1.679700e+01,6.279300e+01,-1.163090e+02,1.073240e+02,1.064500e+01,1.045900e+02,-3.392580e+02,-6.064500e+01,-3.718750e+02,-7.959000e+01,-3.320000e+00,1.288090e+02,-8.457000e+01,6.826200e+01
2.536130e+02,-7.889650e+02,-5.009800e+01,8.242200e+01,9.180000e+00,-1.308600e+01,4.716800e+01,-1.471680e+02,9.169900e+01,-2.080100e+01,6.689500e+01,-3.918950e+02,-7.402300e+01,-4.006840e+02,-9.785200e+01,-4.091800e+01,1.128910e+02,-1.029300e+02,4.189500e+01
2.584960e+02,-7.808590e+02,-4.335900e+01,7.226600e+01,1.679700e+01,-2.431600e+01,5.410200e+01,-1.422850e+02,9.482400e+01,-1.318400e+01,8.837900e+01,-3.408200e+02,-5.849600e+01,-3.957030e+02,-8.437500e+01,-2.753900e+01,1.157230e+02,-9.765600e+01,4.951200e+01
2.801760e+02,-7.472660e+02,-2.539100e+01,1.082030e+02,2.949200e+01,-3.554700e+01,6.787100e+01,-1.162110e+02,9.589800e+01,6.152000e+00,1.225590e+02,-3.104490e+02,-4.531200e+01,-3.715820e+02,-6.142600e+01,-6.152000e+00,1.371090e+02,-7.334000e+01,7.255900e+01
3.025390e+02,-7.173830e+02,7.813000e+00,1.363280e+02,4.453100e+01,-4.726600e+01,8.505900e+01,-9.033200e+01,1.010740e+02,2.548800e+01,1.328130e+02,-3.073240e+02,-4.443400e+01,-3.489260e+02,-3.779300e+01,1.425800e+01,1.566410e+02,-4.902300e+01,9.375000e+01
3.104490e+02,-7.010740e+02,-1.465000e+00,1.582030e+02,4.111300e+01,-4.433600e+01,8.818400e+01,-7.519500e+01,9.863300e+01,3.789100e+01,1.371090e+02,-3.008790e+02,-5.654300e+01,-3.465820e+02,-3.154300e+01,3.007800e+01,1.621090e+02,-4.238300e+01,1.036130e+02
3.298830e+02,-6.677730e+02,1.894500e+01,1.939450e+02,4.794900e+01,-5.107400e+01,1.007810e+02,-50,1.075200e+02,6.015600e+01,1.458010e+02,-2.714840e+02,-7.519500e+01,-3.105470e+02,-2.353500e+01,6.015600e+01,1.811520e+02,-2.294900e+01,1.249020e+02
3.308590e+02,-6.707030e+02,2.324200e+01,1.837890e+02,4.482400e+01,-4.970700e+01,9.785200e+01,-5.585900e+01,1.083980e+02,5.351600e+01,1.421880e+02,-2.607420e+02,-7.529300e+01,-3.031250e+02,-2.802700e+01,5.048800e+01,1.772460e+02,-2.841800e+01,1.177730e+02
3.063480e+02,-7.044920e+02,-5.566000e+00,1.505860e+02,2.802700e+01,-3.291000e+01,7.919900e+01,-7.939500e+01,1.013670e+02,3.134800e+01,1.279300e+02,-2.799800e+02,-6.611300e+01,-3.298830e+02,-4.882800e+01,2.431600e+01,1.542970e+02,-5.341800e+01,9.355500e+01
2.859380e+02,-7.323240e+02,-2.304700e+01,1.232420e+02,1.416000e+01,-1.669900e+01,5.898400e+01,-1.018550e+02,9.082000e+01,1.015600e+01,1.104490e+02,-3.118160e+02,-5.878900e+01,-3.564450e+02,-7.421900e+01,1.562000e+00,1.378910e+02,-7.568400e+01,7.158200e+01
2.785160e+02,-7.536130e+02,-2.070300e+01,100,1.494100e+01,-1.679700e+01,5.419900e+01,-1.200200e+02,9.228500e+01,-8.008000e+00,9.804700e+01,-3.399410e+02,-5.556600e+01,-3.803710e+02,-9.043000e+01,-2.207000e+01,1.322270e+02,-8.437500e+01,5.986300e+01
2.562500e+02,-7.862300e+02,-5.156200e+01,7.343700e+01,1.044900e+01,-1.435500e+01,5.449200e+01,-1.469730e+02,1.013670e+02,-3.017600e+01,8.037100e+01,-3.638670e+02,-4.335900e+01,-4.202150e+02,-9.277300e+01,-4.902300e+01,1.123050e+02,-1.025390e+02,4.296900e+01
2.570310e+02,-7.795900e+02,-5.752000e+01,8.613300e+01,1.513700e+01,-2.187500e+01,5.419900e+01,-1.416990e+02,9.834000e+01,-2.109400e+01,9.648400e+01,-3.442380e+02,-3.242200e+01,-4.038090e+02,-7.636700e+01,-3.193400e+01,1.161130e+02,-9.990200e+01,4.619100e+01
2.815430e+02,-7.443360e+02,-3.671900e+01,1.229490e+02,2.343800e+01,-2.988300e+01,5.605500e+01,-1.106450e+02,8.779300e+01,9.473000e+00,1.235350e+02,-3.322270e+02,-4.013700e+01,-3.793950e+02,-6.210900e+01,1.953000e+00,1.396480e+02,-7.666000e+01,6.767600e+01
3.088870e+02,-7.112300e+02,-5.859000e+00,1.402340e+02,3.877000e+01,-4.384800e+01,6.748000e+01,-8.476600e+01,8.750000e+01,3.212900e+01,1.401370e+02,-3.063480e+02,-4.238300e+01,-3.543950e+02,-4.218800e+01,2.890600e+01,1.603520e+02,-5.283200e+01,8.759800e+01
3.082030e+02,-7.061520e+02,7.617000e+00,1.381840e+02,5.205100e+01,-5.537100e+01,8.427700e+01,-7.763700e+01,1.014650e+02,3.564500e+01,1.166990e+02,-2.765620e+02,-7.304700e+01,-3.340820e+02,-2.734400e+01,3.505900e+01,1.574220e+02,-4.570300e+01,9.824200e+01
3.205080e+02,-6.795900e+02,2.402300e+01,1.701170e+02,5.937500e+01,-6.298800e+01,1.018550e+02,-5.771500e+01,1.154300e+02,5.605500e+01,1.301760e+02,-2.459960e+02,-8.759800e+01,-3.070310e+02,-1.474600e+01,5.654300e+01,1.708980e+02,-2.753900e+01,1.208980e+02
3.337890e+02,-6.695310e+02,2.627000e+01,1.876950e+02,3.808600e+01,-4.335900e+01,9.707000e+01,-5.009800e+01,1.152340e+02,6.503900e+01,1.838870e+02,-2.529300e+02,-5.566400e+01,-3.053710e+02,-9.277000e+00,6.103500e+01,1.787110e+02,-2.832000e+01,1.213870e+02
3.093750e+02,-7.018550e+02,1.172000e+00,1.615230e+02,2.158200e+01,-2.744100e+01,7.343700e+01,-7.744100e+01,9.873000e+01,3.857400e+01,1.545900e+02,-2.813480e+02,-5.302700e+01,-3.382810e+02,-3.525400e+01,3.085900e+01,1.566410e+02,-5.468800e+01,9.238300e+01
2.871090e+02,-7.282230e+02,-2.587900e+01,1.303710e+02,1.103500e+01,-1.289100e+01,5.468800e+01,-9.462900e+01,9.130900e+01,1.826200e+01,1.297850e+02,-2.991210e+02,-4.824200e+01,-3.542970e+02,-6.484400e+01,1.416000e+01,1.380860e+02,-7.607400e+01,7.216800e+01
2.812500e+02,-7.448240e+02,-3.173800e+01,1.128910e+02,1.494100e+01,-1.640600e+01,5.195300e+01,-1.053710e+02,9.140600e+01,7.617000e+00,1.240230e+02,-3.174800e+02,-3.584000e+01,-3.678710e+02,-6.845700e+01,3.027000e+00,1.333010e+02,-8.408200e+01,6.220700e+01
2.669920e+02,-7.736330e+02,-4.755900e+01,8.164100e+01,1.132800e+01,-1.337900e+01,4.482400e+01,-1.291990e+02,8.818400e+01,-1.054700e+01,1.022460e+02,-3.526370e+02,-2.470700e+01,-4.049800e+02,-7.451200e+01,-2.470700e+01,1.190430e+02,-1.007810e+02,4.355500e+01
2.606450e+02,-7.766600e+02,-5.097700e+01,8.154300e+01,1.181600e+01,-1.826200e+01,4.316400e+01,-1.393550e+02,8.701200e+01,-1.474600e+01,9.365200e+01,-3.422850e+02,-2.128900e+01,-4.170900e+02,-7.646500e+01,-3.007800e+01,1.175780e+02,-1.022460e+02,4.287100e+01
2.804690e+02,-7.464840e+02,-2.568400e+01,1.117190e+02,2.509800e+01,-3.105500e+01,5.937500e+01,-1.131840e+02,9.414100e+01,3.320000e+00,1.178710e+02,-3.204100e+02,-4.277300e+01,-3.904300e+02,-7.783200e+01,-3.906000e+00,1.381840e+02,-7.871100e+01,6.611300e+01
3.112300e+02,-7.076170e+02,1.181600e+01,1.465820e+02,4.541000e+01,-4.892600e+01,8.203100e+01,-9.257800e+01,1.079100e+02,2.402300e+01,1.355470e+02,-2.884770e+02,-5.009800e+01,-3.273440e+02,-6.328100e+01,2.539100e+01,1.633790e+02,-5.214800e+01,8.779300e+01
3.220700e+02,-6.872070e+02,1.728500e+01,1.642580e+02,4.716800e+01,-4.980500e+01,8.750000e+01,-7.412100e+01,1.050780e+02,4.287100e+01,1.503910e+02,-2.576170e+02,-5.683600e+01,-3.028320e+02,-3.750000e+01,4.804700e+01,1.710940e+02,-4.189500e+01,1.002930e+02
3.377930e+02,-6.590820e+02,3.134800e+01,1.931640e+02,5.156200e+01,-5.410200e+01,9.775400e+01,-4.814500e+01,1.086910e+02,6.669900e+01,1.656250e+02,-2.335940e+02,-6.884800e+01,-2.857420e+02,-9.277000e+00,7.099600e+01,1.871090e+02,-2.480500e+01,1.209960e+02
3.298830e+02,-6.674800e+02,2.890600e+01,1.837890e+02,4.668000e+01,-5.205100e+01,9.853500e+01,-5.136700e+01,1.113280e+02,6.416000e+01,1.553710e+02,-250,-6.982400e+01,-3.030270e+02,-7.031000e+00,5.742200e+01,1.789060e+02,-3.017600e+01,1.160160e+02
3.055660e+02,-6.995120e+02,2.051000e+00,1.556640e+02,3.056600e+01,-3.544900e+01,8.037100e+01,-7.138700e+01,1.051760e+02,4.707000e+01,1.423830e+02,-2.843750e+02,-6.005900e+01,-3.320310e+02,-3.964800e+01,3.418000e+01,1.554690e+02,-5.410200e+01,9.228500e+01
2.833980e+02,-7.272460e+02,-1.914100e+01,1.320310e+02,1.611300e+01,-1.806600e+01,5.839800e+01,-9.218800e+01,9.199200e+01,2.617200e+01,1.183590e+02,-3.023440e+02,-6.210900e+01,-3.595700e+02,-6.669900e+01,1.464800e+01,1.373050e+02,-7.714800e+01,7.060500e+01
