FP1,FP2,F3,F4,C3,C4,P3,P4,O1,O2,F7, F8,T3,T4,T5,T6,FZ,CZ,PZ
1.466800e+02,-6.938480e+02,3.847700e+01,8.984000e+00,5.380900e+01,-5.712900e+01,-2.724600e+01,-1.769530e+02,3.632800e+01,-9.619100e+01,8.945300e+01,-4.243160e+02,-9.140600e+01,-3.203130e+02,-9.511700e+01,-3.808600e+01,1.312500e+02,-1.899410e+02,4.004000e+00
1.579100e+02,-6.733400e+02,4.560500e+01,2.705100e+01,5.732400e+01,-6.464800e+01,-1.738300e+01,-1.567380e+02,4.453100e+01,-7.314500e+01,1.048830e+02,-4.007810e+02,-1.040040e+02,-2.985350e+02,-8.818400e+01,-9.570000e+00,1.454100e+02,-1.745120e+02,2.353500e+01
1.772460e+02,-6.454100e+02,6.972700e+01,5.459000e+01,7.480500e+01,-8.017600e+01,9.770000e-01,-1.362300e+02,5.390600e+01,-5.556600e+01,1.049800e+02,-3.814450e+02,-1.221680e+02,-2.794920e+02,-7.998000e+01,7.520000e+00,1.640620e+02,-1.509770e+02,4.511700e+01
1.862300e+02,-6.315430e+02,8.828100e+01,7.002000e+01,9.121100e+01,-9.355500e+01,7.813000e+00,-1.297850e+02,4.834000e+01,-5.488300e+01,9.355500e+01,-3.836910e+02,-1.435550e+02,-2.824220e+02,-7.412100e+01,2.637000e+00,1.704100e+02,-1.368160e+02,5.205100e+01
2.009770e+02,-6.041020e+02,1.035160e+02,1.017580e+02,8.681600e+01,-8.906300e+01,1.533200e+01,-1.125000e+02,5.205100e+01,-3.740200e+01,1.536130e+02,-3.469730e+02,-1.094730e+02,-2.471680e+02,-4.941400e+01,2.617200e+01,1.856450e+02,-1.242190e+02,6.748000e+01
2.154300e+02,-5.755860e+02,1.115230e+02,1.314450e+02,9.150400e+01,-9.511700e+01,2.968800e+01,-8.564500e+01,6.289100e+01,-1.377000e+01,1.717770e+02,-3.263670e+02,-1.242190e+02,-2.398440e+02,-2.998000e+01,5.683600e+01,2.014650e+02,-1.068360e+02,8.916000e+01
1.970700e+02,-6.018550e+02,8.808600e+01,1.017580e+02,7.695300e+01,-8.193400e+01,1.015600e+01,-9.970700e+01,4.736300e+01,-3.183600e+01,1.392580e+02,-3.698240e+02,-1.367190e+02,-2.739260e+02,-5.351600e+01,3.252000e+01,1.809570e+02,-1.259770e+02,6.757800e+01
1.792970e+02,-6.296880e+02,7.607400e+01,8.281200e+01,6.455100e+01,-6.982400e+01,-1.025400e+01,-1.307620e+02,3.437500e+01,-5.683600e+01,1.050780e+02,-3.868160e+02,-1.284180e+02,-2.706050e+02,-7.314500e+01,7.813000e+00,1.653320e+02,-1.483400e+02,4.121100e+01
1.623050e+02,-6.570310e+02,6.845700e+01,5.869100e+01,5.517600e+01,-5.908200e+01,-2.529300e+01,-1.514650e+02,2.753900e+01,-7.314500e+01,8.525400e+01,-3.952150e+02,-1.312500e+02,-2.934570e+02,-9.384800e+01,-9.180000e+00,1.520510e+02,-1.646480e+02,2.373000e+01
1.550780e+02,-6.736330e+02,5.224600e+01,4.453100e+01,5.556600e+01,-5.820300e+01,-2.460900e+01,-1.629880e+02,3.349600e+01,-8.437500e+01,8.613300e+01,-4.138670e+02,-1.237300e+02,-3.119140e+02,-9.990200e+01,-3.046900e+01,1.460940e+02,-1.699220e+02,1.640600e+01
1.393550e+02,-7.010740e+02,4.892600e+01,5.176000e+00,5.302700e+01,-5.615200e+01,-3.173800e+01,-1.877930e+02,3.349600e+01,-1.061520e+02,6.035200e+01,-4.259770e+02,-1.132810e+02,-3.316410e+02,-1.217770e+02,-6.201200e+01,1.278320e+02,-1.858400e+02,-1.758000e+00
1.487300e+02,-6.851560e+02,3.808600e+01,2.021500e+01,5.996100e+01,-6.591800e+01,-1.777300e+01,-1.706050e+02,3.974600e+01,-9.433600e+01,8.710900e+01,-4.150390e+02,-1.049800e+02,-3.267580e+02,-1.066410e+02,-3.867200e+01,1.375980e+02,-1.736330e+02,1.640600e+01
1.732420e+02,-6.502930e+02,5.625000e+01,5.605500e+01,6.972700e+01,-7.509800e+01,-1.005900e+01,-1.377930e+02,3.398400e+01,-7.207000e+01,1.088870e+02,-3.916990e+02,-1.124020e+02,-2.939450e+02,-8.593700e+01,-2.930000e-01,1.600590e+02,-1.495120e+02,3.750000e+01
2.038090e+02,-6.146480e+02,8.750000e+01,8.564500e+01,8.173800e+01,-8.447300e+01,9.668000e+00,-1.219730e+02,4.589800e+01,-5.175800e+01,1.341800e+02,-3.651370e+02,-1.023440e+02,-2.558590e+02,-6.289100e+01,2.558600e+01,1.833010e+02,-1.254880e+02,5.820300e+01
