FP1,FP2,F3,F4,C3,C4,P3,P4,O1,O2,F7, F8,T3,T4,T5,T6,FZ,CZ,PZ
7.744100e+01,-8.036130e+02,6.630900e+01,-5.244100e+01,3.203100e+01,-3.818400e+01,7.910200e+01,-2.002000e+01,6.591800e+01,2.910200e+01,1.052730e+02,-3.484370e+02,-5.097700e+01,-2.825200e+02,-9.570300e+01,2.158200e+01,1.673830e+02,2.070300e+01,7.646500e+01
5.459000e+01,-8.293950e+02,3.740200e+01,-6.875000e+01,1.464800e+01,-1.884800e+01,5.517600e+01,-3.642600e+01,5.390600e+01,1.572300e+01,8.271500e+01,-3.678710e+02,-4.687500e+01,-2.819340e+02,-1.229490e+02,9.473000e+00,1.518550e+02,-3.910000e-01,5.615200e+01
5.478500e+01,-8.406250e+02,3.671900e+01,-8.564500e+01,2.099600e+01,-2.441400e+01,5.449200e+01,-5.390600e+01,5.625000e+01,5.273000e+00,9.189500e+01,-3.637700e+02,-2.919900e+01,-3.081050e+02,-1.217770e+02,-3.320000e+00,1.515630e+02,-4.883000e+00,4.736300e+01
3.632800e+01,-8.672850e+02,1.757800e+01,-1.064450e+02,1.572300e+01,-1.943400e+01,4.492200e+01,-8.222700e+01,4.990200e+01,-2.109400e+01,7.402300e+01,-3.967770e+02,-1.933600e+01,-3.544920e+02,-1.339840e+02,-3.574200e+01,1.362300e+02,-2.177700e+01,2.597700e+01
3.134800e+01,-8.675780e+02,1.543000e+01,-9.111300e+01,1.572300e+01,-2.138700e+01,4.599600e+01,-7.929700e+01,4.794900e+01,-2.119100e+01,6.962900e+01,-4.229490e+02,-2.880900e+01,-3.581050e+02,-1.365230e+02,-3.505900e+01,1.377930e+02,-1.855500e+01,3.115200e+01
5.410200e+01,-8.371090e+02,4.443400e+01,-7.187500e+01,3.466800e+01,-3.974600e+01,6.787100e+01,-5.078100e+01,5.986300e+01,7.324000e+00,9.511700e+01,-3.952150e+02,-3.027300e+01,-3.115230e+02,-1.135740e+02,-3.027000e+00,1.580080e+02,7.813000e+00,6.025400e+01
7.568400e+01,-8.068360e+02,7.050800e+01,-5.830100e+01,5.263700e+01,-5.478500e+01,9.472700e+01,-2.490200e+01,7.949200e+01,3.252000e+01,1.169920e+02,-3.537110e+02,-2.910200e+01,-2.739260e+02,-8.515600e+01,2.294900e+01,1.747070e+02,3.154300e+01,8.730500e+01
7.832000e+01,-7.933590e+02,7.773400e+01,-4.326200e+01,4.794900e+01,-5.048800e+01,8.886700e+01,-8.789000e+00,6.962900e+01,3.945300e+01,1.081050e+02,-3.371090e+02,-4.423800e+01,-2.638670e+02,-9.091800e+01,3.330100e+01,1.774410e+02,3.642600e+01,9.355500e+01
9.023400e+01,-7.730470e+02,9.199200e+01,-2.187500e+01,5.166000e+01,-5.634800e+01,9.687500e+01,2.314500e+01,7.519500e+01,6.533200e+01,1.180660e+02,-3.060550e+02,-5.752000e+01,-2.326170e+02,-7.890600e+01,6.884800e+01,1.899410e+02,5.371100e+01,1.166990e+02
7.978500e+01,-7.850590e+02,8.730500e+01,-3.076200e+01,4.218800e+01,-4.794900e+01,8.418000e+01,1.416000e+01,6.152300e+01,5.068400e+01,1.067380e+02,-3.109370e+02,-5.937500e+01,-2.526370e+02,-8.369100e+01,4.912100e+01,1.802730e+02,4.384800e+01,1.036130e+02
5.166000e+01,-8.210940e+02,4.882800e+01,-6.464800e+01,2.812500e+01,-3.300800e+01,6.914100e+01,-1.054700e+01,5.712900e+01,2.793000e+01,8.242200e+01,-3.470700e+02,-7.255900e+01,-2.854490e+02,-1.038090e+02,1.416000e+01,1.542970e+02,1.796900e+01,8.261700e+01
2.675800e+01,-8.524410e+02,1.601600e+01,-8.466800e+01,9.473000e+00,-1.298800e+01,4.873000e+01,-2.636700e+01,5.039100e+01,1.201200e+01,5.205100e+01,-3.871090e+02,-7.568400e+01,-3.409180e+02,-1.368160e+02,-9.961000e+00,1.344730e+02,-4.492000e+00,6.591800e+01
2.763700e+01,-8.623050e+02,1.377000e+01,-8.212900e+01,3.418000e+00,-5.273000e+00,4.052700e+01,-3.183600e+01,4.785200e+01,3.320000e+00,6.494100e+01,-4.308590e+02,-5.654300e+01,-3.444340e+02,-1.513670e+02,-1.757800e+01,1.375980e+02,-7.813000e+00,6.025400e+01
1.709000e+01,-8.864260e+02,1.074200e+01,-1.187500e+02,1.084000e+01,-1.318400e+01,3.183600e+01,-6.210900e+01,3.554700e+01,-2.949200e+01,2.470700e+01,-4.208010e+02,-6.445300e+01,-3.357420e+02,-1.614260e+02,-4.326200e+01,1.229490e+02,-2.304700e+01,3.681600e+01
8.984000e+00,-8.884770e+02,9.180000e+00,-1.275390e+02,1.318400e+01,-1.894500e+01,4.238300e+01,-5.625000e+01,5.039100e+01,-1.904300e+01,3.818400e+01,-4.154300e+02,-4.023400e+01,-3.433590e+02,-1.512700e+02,-3.564500e+01,1.206050e+02,-1.992200e+01,4.853500e+01
3.252000e+01,-8.505860e+02,2.685500e+01,-9.121100e+01,2.246100e+01,-2.832000e+01,6.513700e+01,-2.392600e+01,7.070300e+01,2.021500e+01,9.257800e+01,-3.695310e+02,-3.720700e+01,-3.028320e+02,-1.253910e+02,3.125000e+00,1.449220e+02,7.129000e+00,8.183600e+01
5.097700e+01,-8.277340e+02,6.464800e+01,-7.080100e+01,3.916000e+01,-4.189500e+01,7.363300e+01,-3.125000e+00,6.669900e+01,3.652300e+01,9.775400e+01,-3.560550e+02,-6.416000e+01,-2.761720e+02,-1.111330e+02,1.914100e+01,1.609380e+02,2.919900e+01,9.638700e+01
6.503900e+01,-8.057620e+02,6.543000e+01,-4.326200e+01,3.984400e+01,-4.199200e+01,7.529300e+01,1.113300e+01,5.752000e+01,4.990200e+01,1.090820e+02,-3.339840e+02,-5.517600e+01,-2.535160e+02,-9.511700e+01,4.082000e+01,1.713870e+02,3.828100e+01,1.055660e+02
7.998000e+01,-7.801760e+02,7.714800e+01,-1.689500e+01,4.482400e+01,-4.892600e+01,8.867200e+01,3.584000e+01,6.464800e+01,7.304700e+01,1.182620e+02,-3.115230e+02,-6.474600e+01,-2.372070e+02,-7.607400e+01,6.728500e+01,1.865230e+02,5.537100e+01,1.250980e+02
7.451200e+01,-7.903320e+02,7.734400e+01,-3.974600e+01,4.023400e+01,-4.589800e+01,8.222700e+01,2.529300e+01,6.064500e+01,6.093700e+01,1.156250e+02,-3.265620e+02,-6.591800e+01,-2.519530e+02,-8.261700e+01,4.873000e+01,1.768550e+02,4.736300e+01,1.137700e+02
5.400400e+01,-8.176760e+02,4.892600e+01,-6.240200e+01,2.470700e+01,-2.998000e+01,6.308600e+01,8.790000e-01,4.941400e+01,3.525400e+01,8.867200e+01,-3.453120e+02,-6.015600e+01,-2.737300e+02,-1.054690e+02,1.835900e+01,1.568360e+02,2.324200e+01,8.867200e+01
3.222700e+01,-8.483400e+02,3.369100e+01,-8.564500e+01,1.191400e+01,-1.543000e+01,4.726600e+01,-1.816400e+01,4.668000e+01,1.884800e+01,6.113300e+01,-3.598630e+02,-5.722700e+01,-2.866210e+02,-1.347660e+02,-5.860000e-01,1.404300e+02,3.125000e+00,7.089800e+01
2.841800e+01,-8.640630e+02,3.691400e+01,-1.029300e+02,1.572300e+01,-1.845700e+01,4.228500e+01,-3.105500e+01,4.638700e+01,8.496000e+00,5.410200e+01,-3.958980e+02,-5.214800e+01,-3.129880e+02,-1.526370e+02,-1.201200e+01,1.387700e+02,-2.637000e+00,6.074200e+01
1.044900e+01,-8.903320e+02,4.297000e+00,-1.237300e+02,8.887000e+00,-1.289100e+01,3.203100e+01,-5.566400e+01,4.033200e+01,-1.601600e+01,6.162100e+01,-4.436520e+02,-3.740200e+01,-3.473630e+02,-1.626950e+02,-3.886700e+01,1.218750e+02,-2.021500e+01,4.003900e+01
1.425800e+01,-8.854490e+02,1.513700e+01,-1.222660e+02,1.611300e+01,-2.148400e+01,3.740200e+01,-5.449200e+01,4.502000e+01,-1.357400e+01,5.781300e+01,-4.086910e+02,-3.115200e+01,-3.410160e+02,-1.467770e+02,-3.183600e+01,1.261720e+02,-1.591800e+01,4.511700e+01
3.671900e+01,-8.517580e+02,4.345700e+01,-8.896500e+01,3.339800e+01,-3.964800e+01,5.986300e+01,-3.193400e+01,5.820300e+01,7.813000e+00,8.154300e+01,-3.700200e+02,-3.886700e+01,-3.149410e+02,-1.203120e+02,-4.688000e+00,1.496090e+02,1.054700e+01,7.099600e+01
5.283200e+01,-8.296880e+02,6.474600e+01,-5.615200e+01,4.472700e+01,-4.951200e+01,7.929700e+01,-1.269500e+01,7.060500e+01,25,9.502000e+01,-3.864260e+02,-5.693400e+01,-2.965820e+02,-9.824200e+01,9.082000e+00,1.671880e+02,3.183600e+01,8.964800e+01
6.406300e+01,-8.077150e+02,6.386700e+01,-5.019500e+01,4.414100e+01,-4.697300e+01,8.798800e+01,9.277000e+00,7.685500e+01,4.716800e+01,1.187500e+02,-3.597660e+02,-5.087900e+01,-2.739260e+02,-8.310500e+01,3.515600e+01,1.743160e+02,4.101600e+01,1.050780e+02
8.349600e+01,-7.741210e+02,9.228500e+01,-2.529300e+01,5.097700e+01,-5.517600e+01,9.228500e+01,3.046900e+01,7.402300e+01,6.298800e+01,1.252930e+02,-3.262700e+02,-6.611300e+01,-2.489260e+02,-8.125000e+01,6.074200e+01,1.921870e+02,5.820300e+01,1.201170e+02
7.802700e+01,-7.814450e+02,8.994100e+01,-3.642600e+01,4.687500e+01,-5.195300e+01,8.847700e+01,25,7.255900e+01,5.712900e+01,1.188480e+02,-3.096680e+02,-6.455100e+01,-2.439450e+02,-7.939500e+01,4.736300e+01,1.852540e+02,5.283200e+01,1.130860e+02
5.849600e+01,-8.138670e+02,6.240200e+01,-6.699200e+01,3.291000e+01,-3.701200e+01,7.148400e+01,-2.246000e+00,6.220700e+01,3.457000e+01,1.017580e+02,-3.476560e+02,-4.492200e+01,-2.914060e+02,-9.550800e+01,1.962900e+01,1.645510e+02,2.968800e+01,8.740200e+01
3.769500e+01,-8.378910e+02,3.281200e+01,-7.753900e+01,1.425800e+01,-1.640600e+01,5.566400e+01,-2.431600e+01,5.878900e+01,1.572300e+01,6.884800e+01,-3.703130e+02,-6.152300e+01,-3.111330e+02,-1.208980e+02,-1.465000e+00,1.496090e+02,7.520000e+00,6.884800e+01
2.890600e+01,-8.556640e+02,3.134800e+01,-9.150400e+01,1.933600e+01,-2.128900e+01,4.794900e+01,-4.433600e+01,5.293000e+01,7.810000e-01,5.937500e+01,-3.801760e+02,-5.937500e+01,-3.163090e+02,-1.373050e+02,-1.767600e+01,1.458980e+02,9.800000e-02,5.546900e+01
2.685500e+01,-8.730470e+02,2.470700e+01,-1.186520e+02,1.796900e+01,-2.050800e+01,3.623000e+01,-5.898400e+01,4.384800e+01,-1.396500e+01,6.787100e+01,-4.013670e+02,-3.877000e+01,-3.301760e+02,-1.423830e+02,-2.861300e+01,1.390620e+02,-1.084000e+01,3.828100e+01
3.300800e+01,-8.636720e+02,2.470700e+01,-1.106450e+02,1.503900e+01,-2.070300e+01,3.750000e+01,-4.687500e+01,4.648400e+01,-2.832000e+00,8.281200e+01,-3.867190e+02,-2.158200e+01,-3.180660e+02,-1.310550e+02,-1.279300e+01,1.466800e+02,-7.324000e+00,4.628900e+01
5.048800e+01,-8.345700e+02,4.892600e+01,-7.988300e+01,3.085900e+01,-3.613300e+01,6.132800e+01,-2.382800e+01,6.377000e+01,1.767600e+01,8.818400e+01,-3.668950e+02,-3.554700e+01,-3.002930e+02,-1.101560e+02,6.152000e+00,1.648440e+02,1.513700e+01,7.187500e+01
6.582000e+01,-8.131840e+02,7.793000e+01,-5.517600e+01,4.658200e+01,-4.921900e+01,8.203100e+01,-7.715000e+00,7.539100e+01,3.154300e+01,1.041990e+02,-3.647460e+02,-4.316400e+01,-2.889650e+02,-8.925800e+01,1.738300e+01,1.793950e+02,3.584000e+01,9.130900e+01
6.699200e+01,-8.041020e+02,7.968800e+01,-4.697300e+01,5.029300e+01,-5.380900e+01,7.714800e+01,0,6.123000e+01,3.505900e+01,8.808600e+01,-3.615230e+02,-6.845700e+01,-2.941410e+02,-9.404300e+01,2.031300e+01,1.782230e+02,3.906200e+01,9.296900e+01
